"","Study_ID","First_author","Year_published","ES_ID","Common_species","Strain","Strain_notes","Sex","Housing","Notes_housing","Age_EE_exposure","Notes_age_EE_exposure","Age_stress_exposure","Notes_age_stress_exposure","Age_assay","Notes_age_assay","Type_EE_exposure","Type_EE_details","EE_exercise","EE_social","Type_stress_exposure","Type_stress_details","Stress_duration","Notes_stress_duration","Exposure_order","Learning_vs_memory","Type_assay","Type_reinforcement","Response_assay_name","Response_details","Response_unit","Response_percent","Response_notes","Response_direction","Data_location","CC_n","CC_mean","CC_median","CC_SD","CC_SE","CC_25thpercentile","CC_75thpercentile","EC_n","EC_mean","EC_median","EC_SD","EC_SE","EC_25thpercentile","EC_75thpercentile","CS_n","CS_mean","CS_median","CS_SD","CS_SE","CS_25thpercentile","CS_7thpercentile","ES_n","ES_mean","ES_median","ES_SD","ES_SE","ES_25thpercentile","ES_75thoercentile","Original_names","ROB_blinding","Blinding_notes","ROB_randomisation","Randomisation_notes","Analysis_unit","Unit_notes","Contact_author","Date_contacted","Author_response","General_comments","Stats_comments","lnRR_E","lnRRV_E","lnRR_S","lnRRV_S","lnRR_ES","lnRRV_ES","SMD_E","SMDV_E","SMD_S","SMDV_S","SMD_ES","SMDV_ES","lnRR_E2","lnRRV_E2","lnRR_S2","lnRRV_S2","lnRR_ES2","lnRRV_ES2","lnRR_E3","lnRRV_E3","lnRR_S3","lnRRV_S3","lnRR_Eb","lnRRV_Eb","lnRR_Sb","lnRRV_Sb","lnRR_ESb","lnRRV_ESb","lnRR_Ea","lnRR_Sa","lnRR_ESa","lnRR_E2a","lnRR_S2a","lnRR_ES2a","lnRR_E3a","lnRR_S3a","SMD_Ea","SMD_Sa","SMD_ESa","lnRR_E_b","lnRR_S_b","lnRR_ES_b","leave_out"
"1","1","Aghighi Bidgoli",12,2,"Rat","Wistar",NA,"Male",3,"After isolation, animals were kept in group of 6","Adolescent","P21","Prenatal",NA,"Adolescent","P51 - P55","Objects","pipes, ladders etc","No exercise","Non-social","Noise","prenatal noise stress","Intermittent",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze","Distance travelled to locate platform","cm","no","Taken from day 3 of learning",2,"Fig. 3 e,f, (did not take data from the injected individuals (-S, -B)",10,191.8,NA,69.98,"22.13",NA,NA,10,272.95,NA,104.99,"33.2",NA,NA,10,367.24,NA,196.31,"62.08",NA,NA,10,232.76,NA,81.78,"25.86",NA,NA,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S","Unclear",NA,"Unclear","only states that pre-natal stress was random",1,"Doesn’t clearly state if cage was controlled for in design or analysis","Contacted authors re density of EE vs SH cages",NA,"EE and SH were equal densities of 6 indivs per cage",NA,NA,-0.100257644485365,0.020823268388585,0.255430028614593,0.020823268388585,-0.808843171265459,0.0690272517704599,-0.215669472625209,0.100145354129445,0.546958488140999,0.100934886211717,-1.74403931678881,0.438020914231315,0.352835465778429,0.028107726600607,0.649562422826161,0.0418871368010772,0.193554717339131,0.0256568396730867,-0.45600770548703,0.040919525169853,-0.159280748439298,0.0271401149693827,-0.100257644485365,0.020823268388585,0.255430028614593,0.020823268388585,-0.808843171265459,0.0690272517704599,0.100257644485365,-0.255430028614593,0.808843171265459,-0.352835465778429,-0.649562422826161,-0.193554717339131,0.45600770548703,0.159280748439298,0.215669472625209,-0.546958488140999,1.74403931678881,0.100257644485365,-0.255430028614593,0.808843171265459,"Aghighi Bidgoli_2020"
"2","1","Aghighi Bidgoli",12,1,"Rat","Wistar",NA,"Male",3,"After isolation, animals were kept in group of 6","Adolescent","P21","Prenatal",NA,"Adolescent","P51 - P55","Objects","pipes, ladders etc","No exercise","Non-social","Noise","prenatal noise stress","Intermittent",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze","Time to find platform","sec","no","Taken from day 3 of learning",2,"Fig. 3 b,c, (did not take data from the injected individuals (-S, -B)",10,10.5,NA,4.46,"1.41",NA,NA,10,15.83,NA,7.43,"2.35",NA,NA,10,20.09,NA,4.11,"1.3",NA,NA,10,13.57,NA,3.29,"1.04",NA,NA,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S","Unclear",NA,"Unclear","only states that pre-natal stress was random",1,"Doesn’t clearly state if cage was controlled for in design or analysis","Contacted authors re density of EE vs SH cages",NA,"EE and SH were equal densities of 6 indivs per cage",NA,NA,-0.0396784838181761,0.0115700028164571,0.245601215254442,0.0115700028164571,-0.802892321709509,0.0501356404350009,-0.117360939957323,0.100043042469461,0.722903941081663,0.101633094087598,-2.3373565352845,0.468290444662965,0.410531616729443,0.0400723335502817,0.648846921663365,0.0222275403667843,0.2564862166833,0.0239203016653272,-0.392360704980065,0.0100633068847192,-0.154045400046143,0.0279081000682167,-0.0396784838181761,0.0115700028164571,0.245601215254442,0.0115700028164571,-0.802892321709509,0.0501356404350009,0.0396784838181761,-0.245601215254442,0.802892321709509,-0.410531616729443,-0.648846921663365,-0.2564862166833,0.392360704980065,0.154045400046143,0.117360939957323,-0.722903941081663,2.3373565352845,0.0396784838181761,-0.245601215254442,0.802892321709509,"Aghighi Bidgoli_2020"
"3","1","Aghighi Bidgoli",12,3,"Rat","Wistar",NA,"Male",3,"After isolation, animals were kept in group of 6","Adolescent","P21","Prenatal",NA,"Adolescent","P51 - P55","Objects","pipes, ladders etc","No exercise","Non-social","Noise","prenatal noise stress","Intermittent",NA,"Stress first","Memory","Conditioning","Aversive","Morris water maze","memory of platform location - time spend in target quadrant","sec","no","Taken time spent in target quadrant - white bars",1,"Fig. 4 b,c - white bars",10,17.55,NA,3.1,"0.98",NA,NA,10,17.31,NA,3.1,"0.98",NA,NA,10,10.57,NA,2.53,"0.8",NA,NA,10,18.06,NA,1.96,"0.62",NA,NA,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S","Unclear",NA,"Unclear","only states that pre-natal stress was random",1,"Doesn’t clearly state if cage was controlled for in design or analysis","Contacted authors re density of EE vs SH cages",NA,"EE and SH were equal densities of 6 indivs per cage",NA,NA,0.229382936274925,0.00310004996470147,-0.196884920981851,0.00310004996470147,0.54944932883045,0.0132343036123293,1.33568241660636,0.105575148493848,-1.14776571799415,0.104116769198133,2.84822760837714,0.501405006364022,-0.013769580723757,0.00632732824028216,-0.507034150029729,0.00884926608334979,0.0286455980769644,0.00429791837790926,0.535679748106693,0.00690697537204711,0.0424151788007214,0.00438503752897948,0.229382936274925,0.00310004996470147,-0.196884920981851,0.00310004996470147,0.54944932883045,0.0132343036123293,0.229382936274925,-0.196884920981851,0.54944932883045,-0.013769580723757,-0.507034150029729,0.0286455980769644,0.535679748106693,0.0424151788007214,1.33568241660636,-1.14776571799415,2.84822760837714,0.229382936274925,-0.196884920981851,0.54944932883045,"Aghighi Bidgoli_2020"
"4","2","Berardo",8,4,"Rat","Wistar",NA,"Male",3,"After isolation stress, animals were housed in groups of 4","Adolescent","at weaning/adolescence","Early postnatal","post-natal before weaning","Adolescent","during adolescence","Combination","multilevel, toys, running wheel","Exercise","Non-social","Maternal separation","maternal separation","Chronic","180mins daily for 21 days","Stress first","Learning","Conditioning","Aversive","Aversive conditioning to ethanol","amount of sodium chloride consumed during 30min","ml/100g","no",NA,2,"In text page 10",8,3.37,NA,0.85,"0.3",NA,NA,8,4.05,NA,2.29,"0.81",NA,NA,8,3.96,NA,1.3,"0.46",NA,NA,8,3.36,NA,1.78,"0.63",NA,NA,"CC = AFR-CTRL, EC = AFR=EE, CS = MS-CTRL, ES = MS-EE","Unclear",NA,"Yes",NA,1,"Doesn’t clearly state if cage was controlled for in design or analysis",NA,NA,NA,NA,NA,0.0108549234094355,0.0247639867086078,-0.0135687292060689,0.0247639867086078,-0.348107188045454,0.0964685577470792,0.0243150985701426,0.125002309468822,-0.0303938732126781,0.125003608545035,-0.778083154244563,0.509459584295612,0.183804136754177,0.0479163963617874,0.161331280902119,0.0214234159906738,-0.00297177038915764,0.0430331735396224,-0.164303051291276,0.0485521613852918,-0.186775907143335,0.0750451417564054,0.0108549234094355,0.0247639867086078,-0.0135687292060689,0.0247639867086078,-0.348107188045454,0.0964685577470792,-0.0108549234094355,0.0135687292060689,0.348107188045454,-0.183804136754177,-0.161331280902119,0.00297177038915764,0.164303051291276,0.186775907143335,-0.0243150985701426,0.0303938732126781,0.778083154244563,-0.0108549234094355,0.0135687292060689,0.348107188045454,"Berardo_2016"
"5","29","Bghagya",9,93,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","ladders, tunnels etc","No exercise","Social","Restraint",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","T maze","Numeber of errors","count","no",NA,2,"Fig. 5b",12,2.51,NA,0.48,"0.14",NA,NA,12,2.48,NA,0.59,"0.17",NA,NA,12,4.42,NA,0.97,"0.28",NA,NA,12,2.43,NA,0.48,"0.14",NA,NA,"CC = control, EC = EE, CS = Stress, ES = stress + EE","Unclear",NA,"Yes",NA,3,"Doesn’t clearly state if cage was controlled for in design or analysis",NA,NA,NA,NA,NA,-0.344585871395383,0.00403212630162117,0.316812742510707,0.00403212630162117,-0.586224245770348,0.0150290513373853,-1.5270637342354,0.0894060511677525,1.40610819092962,0.0884821360536442,-2.96341081099147,0.424810454528137,-0.0120241929668017,0.00776406607757433,0.565856942945914,0.00706101907407377,-0.0323914957912353,0.00629910753269999,-0.59824843873715,0.00726498525981101,-0.0203673028244337,0.00796803226331157,-0.344585871395383,0.00403212630162117,0.316812742510707,0.00403212630162117,-0.586224245770348,0.0150290513373853,0.344585871395383,-0.316812742510707,0.586224245770348,0.0120241929668017,-0.565856942945914,0.0323914957912353,0.59824843873715,0.0203673028244337,1.5270637342354,-1.40610819092962,2.96341081099147,0.344585871395383,-0.316812742510707,0.586224245770348,"Bghagya_2017"
"6","29","Bghagya",9,92,"Rat","Wistar",NA,"Male",3,NA,"Adult",NA,"Adult",NA,"Adult",NA,"Objects","ladders, tunnels etc","No exercise","Social","Restraint",NA,"Chronic",NA,"Stress first","Learning","Conditioning","Appetitive","T maze","Number of days to get 80% correct","days","no",NA,2,"Fig. 5a",12,4.23,NA,0.73,"0.21",NA,NA,12,3.92,NA,0.73,"0.21",NA,NA,12,5.73,NA,1.8,"0.52",NA,NA,12,4.1,NA,0.8,"0.23",NA,NA,"CC = control, EC = EE, CS = Stress, ES = stress + EE","Unclear",NA,"Yes",NA,3,"Doesn’t clearly state if cage was controlled for in design or analysis",NA,NA,NA,NA,NA,-0.216638649718084,0.00468899373898795,0.187421006906304,0.00468899373898795,-0.258618217760571,0.0167680337403355,-0.872335315637008,0.085315023184655,0.755424397046481,0.0848194427595131,-1.18709548107304,0.348012455012334,-0.0761103392558156,0.00537186029959401,0.303513537668462,0.0107053557030472,-0.0312150193479246,0.00565461157025731,-0.334728557016386,0.0113961734407415,0.044895319907891,0.00606267803728832,-0.216638649718084,0.00468899373898795,0.187421006906304,0.00468899373898795,-0.258618217760571,0.0167680337403355,0.216638649718084,-0.187421006906304,0.258618217760571,0.0761103392558156,-0.303513537668462,0.0312150193479246,0.334728557016386,-0.044895319907891,0.872335315637008,-0.755424397046481,1.18709548107304,0.216638649718084,-0.187421006906304,0.258618217760571,"Bghagya_2017"
"7","3","Blanco",9,5,"Mouse","Swiss",NA,"Male",3,NA,"Adolescent","P21","Early postnatal","P53","Adolescent","P54","Combination","multilevel, toys, running wheel, drinking fountain, food dispenser, brush","Exercise","Non-social","Shock","light-dark box","Acute","shock","Stress first","Memory","Recognition","Not applicable","Novel object","Time spent exploring a novel object relative to nonnovel object","percent","yes","Only used black bars of object C (novel object)",1,"Fig. 5 b",25,64.83,NA,18.35,"3.67",NA,NA,25,71.25,NA,15.3,"3.06",NA,NA,25,73.09,NA,10.7,"2.14",NA,NA,25,76.76,NA,16.8,"3.36",NA,NA,"CC = control NoShock, EC = Enriched NoShock, CS = Control SR10, ES = Enriched SR10","Unclear",NA,"Unclear",NA,1,"Doesn’t clearly state if cage was controlled for in design or analysis",NA,NA,NA,"N was divided equally between treatment combinations",NA,0.0551828559025154,0.00116951086352076,0.0755624293986989,0.00116951086352076,-0.0305658396998497,0.00475879670814609,0.321769279977373,0.0401294193369214,0.440504079451448,0.0402425548050167,-0.15357544729315,0.160117927090056,0.0710461477172578,0.00281750297899365,0.0912713430511981,0.0022394059828318,0.131751651068606,0.00307348747422238,0.040480308017408,0.00194129372915243,0.0607055033513484,0.00251939072531429,0.0706060321337141,0.00189159495650189,0.0963918456750665,0.00189159495650189,-0.045434247314657,0.00782243864815074,0.0551828559025154,0.0755624293986989,-0.0305658396998497,0.0710461477172578,0.0912713430511981,0.131751651068606,0.040480308017408,0.0607055033513484,0.321769279977373,0.440504079451448,-0.15357544729315,0.0706060321337141,0.0963918456750665,-0.045434247314657,"Blanco_2017"
"8","4","Castelhano-Carlos",6,6,"Rat","Wistar","Wistar Han IGS","Male",3,NA,"Adult","9 weeks","Adult","9 weeks","Adult",NA,"Other","Phenoworld","Exercise","Non-social","Combination","confinement, noise, cage tilt, wet bedding, lighting, food and water deprivation","Chronic",NA,"Stress first","Memory","Recognition","Not applicable","Novel object","Time spent exploring a novel object relative to nonnovel object","percent","yes","Only used std(6) not std(2)",1,"Fig. 5 f",14,74.27,NA,13.99,"3.74",NA,NA,14,71.37,NA,12.42,"3.32",NA,NA,14,73.03,NA,12.42,"3.32",NA,NA,14,71.78,NA,7.78,"2.08",NA,NA,"CC = std(6), EC = Phw, CS = std(6) + CMS, ES = PhW + CMS","Unclear",NA,"Unclear","Only states at EE was random",3,"Doesn’t clearly state if cage was controlled for in design or analysis",NA,NA,NA,"N was calculated from df (((2 + 1 + 1) + 78)  + 1)  / 6",NA,-0.022834486797569,0.00122048097414937,-0.00467094401572525,0.00122048097414937,0.0181483055378602,0.00488046895714634,-0.174187898246707,0.0714962978211955,-0.0356327602760795,0.0714314055660824,0.13924030600908,0.285887391632299,-0.0318879169140918,0.00302632925963838,-0.0136415941933599,0.00302665503208481,-0.0273812055695916,0.00221712188354943,-0.0137396113762316,0.00185413969750796,0.00450671134450024,0.00185381392506152,-0.0285782919244602,0.00190081435392322,-0.0057152849667208,0.00190081435392322,0.0225650587856725,0.00760260296354131,-0.022834486797569,-0.00467094401572525,0.0181483055378602,-0.0318879169140918,-0.0136415941933599,-0.0273812055695916,-0.0137396113762316,0.00450671134450024,-0.174187898246707,-0.0356327602760795,0.13924030600908,-0.0285782919244602,-0.0057152849667208,0.0225650587856725,"Castelhano-Carlos_2014"
"9","5","Chen",3,7,"Mouse","ICR",NA,"Male",3,NA,"Adolescent","just says 'weaned'","Adolescent","just says 'weaned'","Adult",NA,"Combination","nesting material, objects","No exercise","Non-social","Restraint",NA,"Chronic",NA,"Concurrently","Memory","Recognition","Not applicable","Y-maze novel arm","Percent of novel arm visits","percent","yes","Only used white bars of 'novel arm'",1,"Fig. 3 a",12,38.22,NA,5.44,"1.57",NA,NA,12,39.01,NA,2.7,"0.78",NA,NA,11,35.08,NA,5.21,"1.57",NA,NA,11,46.07,NA,5.94,"2.1",NA,NA,"CC = SE, EC = EE, CS = Stress + SE, ES = Stess + EE","Unclear",NA,"Yes",NA,3,"Doesn’t clearly state if cage was controlled for in design or analysis",NA,NA,NA,NA,NA,0.0884660425015951,0.0005061546984314,0.0285751683516051,0.0005061546984314,0.150827223316402,0.00198210462550542,1.18492722163997,0.0909365722314932,0.382963546617924,0.0875197476593593,2.05014924476046,0.394170847678238,0.0120997433034053,0.000728089644907915,-0.0501346289441317,0.00126196877798649,0.112792337675675,0.00116768375705372,0.162926966619807,0.00125401498059751,0.10069259437227,0.000720135847518932,0.149031381439431,0.00144532177155168,0.0495113113794279,0.00144532177155168,0.252071726737405,0.0056039506381809,0.0884660425015951,0.0285751683516051,0.150827223316402,0.0120997433034053,-0.0501346289441317,0.112792337675675,0.162926966619807,0.10069259437227,1.18492722163997,0.382963546617924,2.05014924476046,0.149031381439431,0.0495113113794279,0.252071726737405,"Chen_2010"
"10","5","Chen",3,8,"Mouse","ICR",NA,"Male",3,NA,"Adolescent","just says 'weaned'","Adolescent","just says 'weaned'","Adult",NA,"Combination","nesting material, objects","No exercise","Non-social","Restraint",NA,"Chronic",NA,"Concurrently","Memory","Recognition","Not applicable","Y-maze novel arm","percent duration of novel arm visits","percent","yes","Only used white bars of 'novel arm'",1,"Fig. 3 b,c",12,43.04,NA,9.77,"2.82",NA,NA,12,44.61,NA,7.62,"2.2",NA,NA,11,38.95,NA,9.39,"2.83",NA,NA,11,51.83,NA,6.22,"2.2",NA,NA,"CC = SE, EC = EE, CS = Stress + SE, ES = Stess + EE","Unclear",NA,"Yes",NA,3,"Doesn’t clearly state if cage was controlled for in design or analysis",NA,NA,NA,NA,NA,0.0996128212710974,0.0012137553487644,0.021005666375513,0.0012137553487644,0.154161100768312,0.00489977757749331,0.856596685555484,0.089115119408453,0.180775907905025,0.0872100162757743,1.3407219361206,0.368023275767403,0.0218698349221538,0.00249933546009228,-0.0598834696109867,0.00343937429946436,0.116147466079479,0.00212939249324224,0.176030935690466,0.00240044211740102,0.0942776311573253,0.00146040327802895,0.162323764704884,0.00327407273307896,0.0350873856610763,0.00327407273307896,0.249862226598213,0.0133182388609151,0.0996128212710974,0.021005666375513,0.154161100768312,0.0218698349221538,-0.0598834696109867,0.116147466079479,0.176030935690466,0.0942776311573253,0.856596685555484,0.180775907905025,1.3407219361206,0.162323764704884,0.0350873856610763,0.249862226598213,"Chen_2010"
