Study_ID,First_author,Year_published,ES_ID,Common_species,Strain,Strain_notes,Sex,Housing,Notes_housing,Age_EE_exposure,Notes_age_EE_exposure,Age_stress_exposure,Notes_age_stress_exposure,Age_assay,Notes_age_assay,Type_EE_exposure,Type_EE_details,EE_exercise ,EE_social,Type_stress_exposure,Type_stress_details,Stress_duration,Notes_stress_duration,Exposure_order,Learning_vs_memory,Type_assay,Type_reinforcement,Response_assay_name,Response_details,Response_unit,Response_percent,Response_notes,Response_direction ,Data_location,CC_n,CC_mean,CC_median,CC_SD,CC_SE,CC_25thpercentile,CC_75thpercentile,EC_n,EC_mean,EC_median,EC_SD,EC_SE,EC_25thpercentile,EC_75thpercentile,CS_n,CS_mean,CS_median,CS_SD,CS_SE,CS_25thpercentile,CS_7thpercentile,ES_n,ES_mean,ES_median,ES_SD,ES_SE,ES_25thpercentile,ES_75thoercentile,Original_names,ROB_blinding,Blinding_notes,ROB_randomisation,Randomisation_notes,Analysis_unit,Unit_notes,Contact_author,Date_contacted,Author_response,General_comments,Stats_comments
1,Aghighi Bidgoli,2020,2,Rat,Wistar,,2,3,"After isolation, animals were kept in group of 6",3,P21,1,,2,P51 - P55,2,"pipes, ladders etc",2,2,8,prenatal noise stress,3,,1,1,2,2,Morris water maze,Distance travelled to locate platform,cm,no,Taken from day 3 of learning,2,"Fig. 3 e,f, (did not take data from the injected individuals (-S, -B)",10,191.8,,69.98,22.13,,,10,272.95,,104.99,33.2,,,10,367.24,,196.31,62.08,,,10,232.76,,81.78,25.86,,,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S",3,,3,only states that pre-natal stress was random,1,Doesn’t clearly state if cage was controlled for in design or analysis,Contacted authors re density of EE vs SH cages,,EE and SH were equal densities of 6 indivs per cage,,
1,Aghighi Bidgoli,2020,1,Rat,Wistar,,2,3,"After isolation, animals were kept in group of 6",3,P21,1,,2,P51 - P55,2,"pipes, ladders etc",2,2,8,prenatal noise stress,3,,1,1,2,2,Morris water maze,Time to find platform,sec,no,Taken from day 3 of learning,2,"Fig. 3 b,c, (did not take data from the injected individuals (-S, -B)",10,10.5,,4.46,1.41,,,10,15.83,,7.43,2.35,,,10,20.09,,4.11,1.3,,,10,13.57,,3.29,1.04,,,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S",3,,3,only states that pre-natal stress was random,1,Doesn’t clearly state if cage was controlled for in design or analysis,Contacted authors re density of EE vs SH cages,,EE and SH were equal densities of 6 indivs per cage,,
1,Aghighi Bidgoli,2020,3,Rat,Wistar,,2,3,"After isolation, animals were kept in group of 6",3,P21,1,,2,P51 - P55,2,"pipes, ladders etc",2,2,8,prenatal noise stress,3,,1,2,2,2,Morris water maze,memory of platform location - time spend in target quadrant ,sec,no,Taken time spent in target quadrant - white bars,1,"Fig. 4 b,c - white bars",10,17.55,,3.1,0.98,,,10,17.31,,3.1,0.98,,,10,10.57,,2.53,0.8,,,10,18.06,,1.96,0.62,,,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S",3,,3,only states that pre-natal stress was random,1,Doesn’t clearly state if cage was controlled for in design or analysis,Contacted authors re density of EE vs SH cages,,EE and SH were equal densities of 6 indivs per cage,,
2,Berardo,2016,4,Rat,Wistar,,2,3,"After isolation stress, animals were housed in groups of 4",3,at weaning/adolescence,2,post-natal before weaning,2,during adolescence ,5,"multilevel, toys, running wheel",1,2,6,maternal separation,2,180mins daily for 21 days,1,1,2,2,Aversive conditioning to ethanol,amount of sodium chloride consumed during 30min,ml/100g,no,,2,In text page 10,8,3.37,,0.85,0.3,,,8,4.05,,2.29,0.81,,,8,3.96,,1.3,0.46,,,8,3.36,,1.78,0.63,,,"CC = AFR-CTRL, EC = AFR=EE, CS = MS-CTRL, ES = MS-EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
29,Bghagya,2017,93,Rat,Wistar,,2,3,,4,,4,,3,,2,"ladders, tunnels etc",2,1,5,,2,,1,2,2,1,T maze,Numeber of errors,count,no,,2,Fig. 5b,12,2.51,,0.48,0.14,,,12,2.48,,0.59,0.17,,,12,4.42,,0.97,0.28,,,12,2.43,,0.48,0.14,,,"CC = control, EC = EE, CS = Stress, ES = stress + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
29,Bghagya,2017,92,Rat,Wistar,,2,3,,4,,4,,3,,2,"ladders, tunnels etc",2,1,5,,2,,1,1,2,1,T maze,Number of days to get 80% correct,days,no,,2,Fig. 5a,12,4.23,,0.73,0.21,,,12,3.92,,0.73,0.21,,,12,5.73,,1.8,0.52,,,12,4.1,,0.8,0.23,,,"CC = control, EC = EE, CS = Stress, ES = stress + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
3,Blanco,2017,5,Mouse,Swiss,,2,3,,3,P21,2,P53,2,P54,5,"multilevel, toys, running wheel, drinking fountain, food dispenser, brush",1,2,3,light-dark box,1,shock,1,2,3,3,Novel object ,Time spent exploring a novel object relative to nonnovel object,percent,yes,Only used black bars of object C (novel object),1,Fig. 5 b,25,64.83,,18.35,3.67,,,25,71.25,,15.3,3.06,,,25,73.09,,10.7,2.14,,,25,76.76,,16.8,3.36,,,"CC = control NoShock, EC = Enriched NoShock, CS = Control SR10, ES = Enriched SR10",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,N was divided equally between treatment combinations,
4,Castelhano-Carlos,2014,6,Rat,Wistar,Wistar Han IGS,2,3,,4,9 weeks,4,9 weeks,3,,6,Phenoworld,1,2,10,"confinement, noise, cage tilt, wet bedding, lighting, food and water deprivation",2,,1,2,3,3,Novel object ,Time spent exploring a novel object relative to nonnovel object,percent,yes,Only used std(6) not std(2),1,Fig. 5 f,14,74.27,,13.99,3.74,,,14,71.37,,12.42,3.32,,,14,73.03,,12.42,3.32,,,14,71.78,,7.78,2.08,,,"CC = std(6), EC = Phw, CS = std(6) + CMS, ES = PhW + CMS",3,,3,Only states at EE was random,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,N was calculated from df (((2 + 1 + 1) + 78)  + 1)  / 6,
5,Chen,2010,7,Mouse,ICR,,2,3,,3,just says 'weaned',3,just says 'weaned',3,,5,"nesting material, objects",2,2,5,,2,,3,2,3,3,Y-maze novel arm ,Percent of novel arm visits,percent,yes,Only used white bars of 'novel arm',1,Fig. 3 a,12,38.22,,5.44,1.57,,,12,39.01,,2.7,0.78,,,11,35.08,,5.21,1.57,,,8,46.07,,5.94,2.1,,,"CC = SE, EC = EE, CS = Stress + SE, ES = Stess + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
5,Chen,2010,8,Mouse,ICR,,2,3,,3,just says 'weaned',3,just says 'weaned',3,,5,"nesting material, objects",2,2,5,,2,,3,2,3,3,Y-maze novel arm ,percent duration of novel arm visits,percent,yes,Only used white bars of 'novel arm',1,"Fig. 3 b,c",12,43.04,,9.77,2.82,,,12,44.61,,7.62,2.2,,,11,38.95,,9.39,2.83,,,8,51.83,,6.22,2.2,,,"CC = SE, EC = EE, CS = Stress + SE, ES = Stess + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
